title,location,day,schedule_url,source,kingdom,is_virtual,lat,lng,location_specificity
Tir-y-Don Fighter Practice,"Nike Park, 13036 Nike Park Rd, Carrollton, VA 23314",Sundays,https://tirydon.atlantia.sca.org/activities/,Barony of Tir-y-Don,Kingdom of Atlantia,FALSE,36.961231,-76.561179,exact
Tir-y-Don Archery Practice,"Newport News Park, Archery Range ",Sundays,https://tirydon.atlantia.sca.org/activities/,Barony of Tir-y-Don,Kingdom of Atlantia,FALSE,37.189352,-76.558459,exact
Tir-y-Don Arts & Sciences Night,"Cornerstone Community Church, 1003 Moyer Rd, Newport News, VA 23608 ",Thursdays,https://tirydon.atlantia.sca.org/activities/,Barony of Tir-y-Don,Kingdom of Atlantia,FALSE,37.13495,-76.573874,exact
Aire Faucon Arts & Sciences Meetings,"1306 Country Club Rd, Lincolnton, NC 28092 ",the first and third Tuesdays of each month,https://airefaucon.atlantia.sca.org/events/index.html,Canton of Aire Faucon,Kingdom of Atlantia,FALSE,35.466714,-81.237704,exact
Ritterwald A&S & Fighter Practice,Various members’ homes (you’ll need to ask for the address),Tuesdays,https://ritterwald.atlantia.sca.org/weekly-as-fighter-practice/,Canton of Ritterwald,Kingdom of Atlantia,FALSE,33.566574,-81.719398,vague
Seareach Fighter Practice,Various members’ homes (you’ll need to ask for the address),Mondays,https://www.seareach.atlantia.sca.org/events-activities/,Shire of Seareach,Kingdom of Atlantia,FALSE,34.18812,-77.817315,vague
Seareach Arts & Sciences Meetup,Various members’ homes (you’ll need to ask for the address),the first and third Tuesdays of each month,https://www.seareach.atlantia.sca.org/events-activities/,Shire of Seareach,Kingdom of Atlantia,FALSE,34.18812,-77.817315,vague
Shire of Roxbury Mill,"Tikvat Israel Congregation, 2200 Baltimore Road, Rockville, MD 20851",Wednesdays,https://roxburymill.atlantia.sca.org/recurring-activities-2/,Shire of Roxbury Mill,Kingdom of Atlantia,FALSE,39.087313,-77.11614,exact
Attilium Rapier & Arts & Sciences & Social,"Kiwanis Recreation Center, 352 Devers Street, Fayetteville, NC",Wednesdays,https://windmastershill.org/cantons/canton-of-attilium,Canton of Attilium,Kingdom of Atlantia,FALSE,35.067839,-78.922019,exact
Attilium Dance Practice,"Kiwanis Recreation Center, 352 Devers Street, Fayetteville, NC",Sundays except third Sundays,https://windmastershill.org/cantons/canton-of-attilium,Canton of Attilium,Kingdom of Atlantia,FALSE,35.067839,-78.922019,exact
Bryniau Tywynnog Local Practice,"Scholar’s Hall, 888 Trillium Dr, Kitchener, ON ",Tuesdays,https://ealdormere.ca/bryniau-tywynnog/join-us/,Canton of Bryniau Tywynnog,Kingdom of Ealdormere,FALSE,43.400984,-80.485304,exact
