"kingdom","group","location","website","lat","lng"
"Kingdom of AEthelmearc","Barony of Blackstone Mountain","South-Central, WV","","39.345630","-81.522901"
"Kingdom of AEthelmearc","Barony of Delftwood","Syracuse, NY","http://delftwood.aethelmearc.org/","43.048122","-76.147424"
"Kingdom of AEthelmearc","Barony of Endless Hills","Northeastern, PA","http://endlesshills.aethelmearc.org/","40.064833","-76.715664"
"Kingdom of AEthelmearc","Barony of Rhydderich Hael","Niagara Frontier, NY","http://hael.aethelmearc.org/","42.919431","-78.830998"
"Kingdom of AEthelmearc","Barony of St. Swithin’s Bog","Cambria, Somerset, Bedford and Westmoreland Co, PA","http://stswithinsbog.aethelmearc.org/","40.241180","-78.880202"
"Kingdom of AEthelmearc","Barony of Thescorre","Rochester, NY","http://thescorre.aethelmearc.org/","43.157285","-77.615214"
"Kingdom of AEthelmearc","Canton of Beau Fleuve","Niagara Falls, NY","http://beaufleuve.aethelmearc.org/","43.084841","-79.070179"
"Kingdom of AEthelmearc","Canton of Dunloch","Oswego County, NY","https://dunloch.aethelmearc.org","43.411297","-76.127984"
"Kingdom of AEthelmearc","College of Arx Collis","West Liberty University, WV","https://arxcollis.aethelmearc.org","40.161576","-80.597888"
"Kingdom of AEthelmearc","College of Silva Vulcani","California University, PA","https://silvavulcani.wixsite.com/silvavulcani","40.064431","-79.884398"
"Kingdom of AEthelmearc","Shire of Abhainn Ciach Ghlais","Clinton, Columbia, Lycoming, Montour, Northumberland, Snyder, Sullivan, Tioga, and Union Co, PA","http://www.shireofacg.org/","41.049445","-76.931095"
"Kingdom of AEthelmearc","Shire of Angel's Keep","Auburn, NY","http://angelskeep.aethelmearc.org/","42.932020","-76.567203"
"Kingdom of AEthelmearc","Shire of Ballachlagan","Northern Panhandle, WV","https://ballachlagan.aethelmearc.org/","40.078229","-80.696672"
"Kingdom of AEthelmearc","Shire of Blackwater","Cattaraugus and Allegany, NY","","42.223482","-78.647710"
"Kingdom of AEthelmearc","Shire of Coppertree","Rome and Utica, NY","http://coppertree.aethelmearc.org/","43.210220","-75.458396"
"Kingdom of AEthelmearc","Shire of Courtlandtslot","Cortland Co, NY","","42.584214","-76.070491"
"Kingdom of AEthelmearc","Shire of Hartstone","Livingston, Steuben Co, NY","http://hartstone.aethelmearc.org/","42.545800","-77.667862"
"Kingdom of AEthelmearc","Shire of Heronter","Jamestown/Chautauqua Region, NY","https://heronter.aethelmearc.org/","42.097971","-79.241311"
"Kingdom of AEthelmearc","Shire of Hunter's Home","Erie, Crawford, Mercer, Lawrence, Venango, Clarion, & Forest Counties, PA","http://huntershome.aethelmearc.org","41.465630","-80.022599"
"Kingdom of AEthelmearc","Shire of King's Crossing","Washington and Greene Counties, PA","http://kingscrossing.aethelmearc.org/","40.194380","-80.254125"
"Kingdom of AEthelmearc","Shire of Misty Highlands","North Central, WV","","39.299502","-80.228432"
"Kingdom of AEthelmearc","Shire of Nithgaard","State College, PA","http://nithgaard.aethelmearc.org/","40.794450","-77.861639"
"Kingdom of AEthelmearc","Shire of Port Oasis","Huntington, WV","http://www.portoasis.org","38.419250","-82.445154"
"Kingdom of AEthelmearc","Shire of Steltonwald","Beaver Co, PA","https://steltonwald.aethelmearc.org/","40.691662","-80.371000"
"Kingdom of AEthelmearc","Shire of Sterlynge Vayle","Binghamton, NY","http://sterlyngevayle.aethelmearc.org/","42.098698","-75.912519"
"Kingdom of AEthelmearc","Shire of Sunderoak","Butler, PA","http://sunderoak.aethelmearc.org","40.860467","-79.897052"
"Kingdom of AEthelmearc","Shire of Sylvan Glen","Eastern Panhandle, WV","http://sylvanglen.aethelmearc.org/","39.457499","-77.965017"
"Kingdom of AEthelmearc","Shire of Wyntersett","Watertown and Fort Drum, NY","http://wyntersetthome.org/","43.974784","-75.910757"
"Kingdom of An Tir","Barony of Adiantum","Eugene, OR","http://adiantum.antir.sca.org/","44.050505","-123.095051"
"Kingdom of An Tir","Barony of Aquaterra","Bremerton, WA","http://aquaterra.antir.sca.org/","47.565366","-122.624684"
"Kingdom of An Tir","Barony of Blatha an Oir","Whitefish, MT","http://blathaanoir.antir.sca.org/","48.410802","-114.334624"
"Kingdom of An Tir","Barony of Dragon's Mist","Hillsboro, OR","http://dragonsmist.antir.sca.org/","45.522894","-122.989827"
"Kingdom of An Tir","Barony of Dragons Laire","Silverdale, WA","https://dragonslaire.antir.org/wordpress/","47.659409","-122.676632"
"Kingdom of An Tir","Barony of Glymm Mere","Olympia, WA","https://glymmmere.antir.org/","47.045102","-122.895008"
"Kingdom of An Tir","Barony of Glyn Dwfn","Medford, OR","http://glyndwfn.antir.sca.org","42.326418","-122.871860"
"Kingdom of An Tir","Barony of Lions Gate","Vancouver, BC, Canada","http://lionsgate.tirrigh.org/","49.260872","-123.113952"
"Kingdom of An Tir","Barony of Madrone","Seattle, WA","http://baronyofmadrone.net/","47.603832","-122.330062"
"Kingdom of An Tir","Barony of Seagirt","Victoria, BC, Canada","http://seagirt.tirrigh.org/","48.428318","-123.364953"
"Kingdom of An Tir","Barony of Stromgard","Surrey, BC, Canada","https://www.stromgard-sca.org/","49.191303","-122.849143"
"Kingdom of An Tir","Barony of Terra Pomaria","Salem, OR","http://terrapomaria.antir.sca.org/","44.939157","-123.033121"
